"year","state","acres","farms","cropland","cropland_irr","cropland_nonirr","agland","pastureland","deflator","cpi"
1850,"ALABAMA",NA,NA,NA,NA,NA,5,NA,NA,NA
1860,"ALABAMA",NA,NA,NA,NA,NA,9,NA,NA,NA
1870,"ALABAMA",NA,NA,NA,NA,NA,4,NA,NA,NA
1880,"ALABAMA",NA,NA,NA,NA,NA,4,NA,NA,NA
1890,"ALABAMA",NA,NA,NA,NA,NA,6,NA,NA,NA
1900,"ALABAMA",NA,NA,NA,NA,NA,7,NA,NA,NA
1910,"ALABAMA",NA,265000,NA,NA,NA,14,NA,NA,NA
1911,"ALABAMA",NA,264000,NA,NA,NA,14,NA,NA,NA
1912,"ALABAMA",NA,263000,NA,NA,NA,15,NA,NA,NA
1913,"ALABAMA",NA,262000,NA,NA,NA,15,NA,NA,9.88333333333333
1914,"ALABAMA",NA,262000,NA,NA,NA,16,NA,NA,10.0166666666667
1915,"ALABAMA",NA,261000,NA,NA,NA,15,NA,NA,10.1083333333333
1916,"ALABAMA",NA,260000,NA,NA,NA,15,NA,NA,10.8833333333333
1917,"ALABAMA",NA,259000,NA,NA,NA,16,NA,NA,12.825
1918,"ALABAMA",NA,258000,NA,NA,NA,20,NA,NA,15.0416666666667
1919,"ALABAMA",NA,258000,NA,NA,NA,22,NA,NA,17.3333333333333
1920,"ALABAMA",NA,256000,NA,NA,NA,28,NA,NA,20.0416666666667
1921,"ALABAMA",NA,255000,NA,NA,NA,23,NA,NA,17.85
1922,"ALABAMA",NA,254000,NA,NA,NA,21,NA,NA,16.75
1923,"ALABAMA",NA,252000,NA,NA,NA,23,NA,NA,17.05
1924,"ALABAMA",NA,250000,NA,NA,NA,23,NA,NA,17.125
1925,"ALABAMA",NA,250000,NA,NA,NA,25,NA,NA,17.5416666666667
1926,"ALABAMA",NA,251000,NA,NA,NA,26,NA,NA,17.7
1927,"ALABAMA",NA,252000,NA,NA,NA,25,NA,NA,17.3583333333333
1928,"ALABAMA",NA,256000,NA,NA,NA,27,NA,NA,17.1583333333333
1929,"ALABAMA",NA,259000,NA,NA,NA,27,NA,NA,17.1583333333333
1930,"ALABAMA",NA,261000,NA,NA,NA,29,NA,NA,16.7
1931,"ALABAMA",NA,262000,NA,NA,NA,26,NA,NA,15.2083333333333
1932,"ALABAMA",NA,263000,NA,NA,NA,21,NA,NA,13.6416666666667
1933,"ALABAMA",NA,264000,NA,NA,NA,18,NA,NA,12.9333333333333
1934,"ALABAMA",NA,270000,NA,NA,NA,20,NA,NA,13.3833333333333
1935,"ALABAMA",NA,274000,NA,NA,NA,21,NA,NA,13.725
1936,"ALABAMA",NA,273000,NA,NA,NA,21,NA,NA,13.8666666666667
1937,"ALABAMA",NA,268000,NA,NA,NA,21,NA,NA,14.3833333333333
1938,"ALABAMA",NA,260000,NA,NA,NA,22,NA,NA,14.0916666666667
1939,"ALABAMA",NA,245000,NA,NA,NA,22,NA,NA,13.9083333333333
1940,"ALABAMA",NA,241000,NA,NA,NA,21,NA,NA,14.0083333333333
1941,"ALABAMA",NA,236000,NA,NA,NA,22,NA,NA,14.725
1942,"ALABAMA",NA,234000,NA,NA,NA,23,NA,NA,16.3333333333333
1943,"ALABAMA",NA,228000,NA,NA,NA,25,NA,NA,17.3083333333333
1944,"ALABAMA",NA,224000,NA,NA,NA,29,NA,NA,17.5916666666667
1945,"ALABAMA",NA,225000,NA,NA,NA,33,NA,NA,17.9916666666667
1946,"ALABAMA",NA,225000,NA,NA,NA,38,NA,NA,19.5166666666667
1947,"ALABAMA",NA,224000,NA,NA,NA,46,NA,12.886,22.325
1948,"ALABAMA",NA,222000,NA,NA,NA,46,NA,13.603,24.0416666666667
1949,"ALABAMA",NA,221000,NA,NA,NA,51,NA,13.58075,23.8083333333333
1950,"ALABAMA",21300000,220000,NA,NA,NA,49,NA,13.7375,24.0666666666667
1951,"ALABAMA",21600000,206000,NA,NA,NA,53,NA,14.7145,25.9583333333333
1952,"ALABAMA",21600000,193000,NA,NA,NA,58,NA,14.971,26.55
1953,"ALABAMA",21400000,180000,NA,NA,NA,60,NA,15.157,26.7666666666667
1954,"ALABAMA",21200000,168000,NA,NA,NA,56,NA,15.2975,26.85
1955,"ALABAMA",20600000,160000,NA,NA,NA,60,NA,15.55775,26.775
1956,"ALABAMA",20000000,152000,NA,NA,NA,67,NA,16.09,27.1833333333333
1957,"ALABAMA",19200000,144000,NA,NA,NA,71,NA,16.6245,28.0916666666667
1958,"ALABAMA",18400000,136000,NA,NA,NA,76,NA,16.9995,28.8583333333333
1959,"ALABAMA",17600000,129000,NA,NA,NA,86,NA,17.23675,29.15
1960,"ALABAMA",17200000,122000,NA,NA,NA,91,NA,17.4765,29.575
1961,"ALABAMA",16900000,115000,NA,NA,NA,95,NA,17.66775,29.8916666666667
1962,"ALABAMA",16600000,109000,NA,NA,NA,99,NA,17.886,30.25
1963,"ALABAMA",16400000,105000,NA,NA,NA,106,NA,18.08725,30.625
1964,"ALABAMA",16200000,102000,NA,NA,NA,118,NA,18.365,31.0166666666667
1965,"ALABAMA",16000000,98000,NA,NA,NA,130,NA,18.7,31.5083333333333
1966,"ALABAMA",15700000,95000,NA,NA,NA,142,NA,19.226,32.4583333333333
1967,"ALABAMA",15400000,92000,NA,NA,NA,159,NA,19.78475,33.3583333333333
1968,"ALABAMA",15200000,88000,NA,NA,NA,170,NA,20.62475,34.7833333333333
1969,"ALABAMA",15000000,85000,NA,NA,NA,187,NA,21.6415,36.6833333333333
1970,"ALABAMA",14800000,82000,NA,NA,NA,200,NA,22.7845,38.825
1971,"ALABAMA",14700000,80000,NA,NA,NA,226,NA,23.9395,40.4916666666667
1972,"ALABAMA",14600000,78000,NA,NA,NA,236,NA,24.97325,41.8166666666667
1973,"ALABAMA",14600000,78000,NA,NA,NA,267,NA,26.33475,44.4
1974,"ALABAMA",14600000,78000,NA,NA,NA,331,NA,28.7075,49.3083333333333
1975,"ALABAMA",13400000,63000,NA,NA,NA,364,NA,31.35275,53.8166666666667
1976,"ALABAMA",13100000,63000,NA,NA,NA,425,NA,33.07925,56.9083333333333
1977,"ALABAMA",12800000,61000,NA,NA,NA,477,NA,35.1265,60.6083333333333
1978,"ALABAMA",12500000,59000,NA,NA,NA,527,NA,37.58525,65.2333333333333
1979,"ALABAMA",12500000,59000,NA,NA,NA,639,NA,40.70175,72.575
1980,"ALABAMA",12200000,59000,NA,NA,NA,780,NA,44.37825,82.4083333333333
1981,"ALABAMA",11900000,57000,NA,NA,NA,910,NA,48.5215,90.925
1982,"ALABAMA",11800000,55000,NA,NA,NA,885,NA,51.53025,96.5
1983,"ALABAMA",11600000,54000,NA,NA,NA,826,NA,53.5535,99.6
1984,"ALABAMA",11400000,53000,NA,NA,NA,824,NA,55.45925,103.883333333333
1985,"ALABAMA",11200000,52000,NA,NA,NA,797,NA,57.23575,107.566666666667
1986,"ALABAMA",11000000,51000,NA,NA,NA,803,NA,58.393,109.608333333333
1987,"ALABAMA",10700000,49000,NA,NA,NA,786,NA,59.8785,113.625
1988,"ALABAMA",10600000,48000,NA,NA,NA,800,NA,61.9735,118.258333333333
1989,"ALABAMA",10600000,47000,NA,NA,NA,847,NA,64.38775,123.966666666667
1990,"ALABAMA",10100000,47000,NA,NA,NA,890,NA,66.77425,130.658333333333
1991,"ALABAMA",9900000,46000,NA,NA,NA,864,NA,68.993,136.191666666667
1992,"ALABAMA",9800000,46000,NA,NA,NA,936,NA,70.5635,140.316666666667
1993,"ALABAMA",10000000,49000,NA,NA,NA,1000,NA,72.24375,144.458333333333
1994,"ALABAMA",10100000,49000,NA,NA,NA,1120,NA,73.7805,148.225
1995,"ALABAMA",10000000,49000,NA,NA,NA,1260,NA,75.32125,152.383333333333
1996,"ALABAMA",9700000,49000,NA,NA,NA,1320,NA,76.695,156.85
1997,"ALABAMA",9600000,49000,1200,NA,NA,1360,990,78.0085,160.516666666667
1998,"ALABAMA",9400000,49000,1260,NA,NA,1440,1100,78.85475,163.008333333333
1999,"ALABAMA",9200000,48000,1350,NA,NA,1500,1150,80.0605,166.575
2000,"ALABAMA",9000000,47000,1450,NA,NA,1570,1200,81.88275,172.2
2001,"ALABAMA",8900000,46000,1530,NA,NA,1640,1250,83.75275,177.066666666667
2002,"ALABAMA",8900000,45000,1600,NA,NA,1700,1300,85.0375,179.875
2003,"ALABAMA",9000000,45000,1700,NA,NA,1760,1350,86.7285,183.958333333333
2004,"ALABAMA",8900000,44000,1750,NA,NA,1850,1350,89.1135,188.883333333333
2005,"ALABAMA",8800000,43500,2050,NA,NA,2050,1650,91.98125,195.291666666667
2006,"ALABAMA",8900000,43000,2300,NA,NA,2100,1650,94.8115,201.591666666667
2007,"ALABAMA",9000000,48800,2450,NA,NA,2200,1750,97.33375,207.342416666667
2008,"ALABAMA",8900000,47600,2650,NA,NA,2300,1800,99.24975,215.3025
2009,"ALABAMA",8900000,46800,2620,NA,NA,2250,1780,99.99975,214.537
2010,"ALABAMA",8900000,46000,2630,NA,NA,2300,1810,101.217,218.0555
2011,"ALABAMA",8900000,45000,2680,NA,NA,2340,1830,103.30725,224.939166666667
